municipio;lat;lng;url_maps
PAZOS DE BORBEN;42.29690286258028;-8.53635967436729;https://www.google.com/maps?q=...842.29690286258028,-8.53635967436729
PEDRAFITA DO CEBREIRO;42.694805051796905;-7.0800257618668585;https://www.google.com/maps?q=...842.694805051796905,-7.0800257618668585
PETIN;42.37881658529691;-7.144285283651826;https://www.google.com/maps?q=...842.37881658529691,-7.144285283651826
PINOR;42.53402834852156;-8.021000602542596;https://www.google.com/maps?q=...842.53402834852156,-8.021000602542596
POIO;42.44699166057879;-8.71481363508029;https://www.google.com/maps?q=...842.44699166057879,-8.71481363508029
POL;43.153694281473285;-7.317090546430162;https://www.google.com/maps?q=...843.153694281473285,-7.317090546430162
PONTE CALDELAS;42.39048319648981;-8.516570001756513;https://www.google.com/maps?q=...842.39048319648981,-8.516570001756513
PONTEAREAS;42.191321979154694;-8.51584074576897;https://www.google.com/maps?q=...842.191321979154694,-8.51584074576897
PONTECESO;43.26584274407828;-8.893408193640264;https://www.google.com/maps?q=...843.26584274407828,-8.893408193640264
PONTECESURES;42.721803164201205;-8.641959160467344;https://www.google.com/maps?q=...842.721803164201205,-8.641959160467344
PONTEDEUME;43.403435370239656;-8.16108350532213;https://www.google.com/maps?q=...843.403435370239656,-8.16108350532213
PONTEDEVA;42.17740392482357;-8.152856721634187;https://www.google.com/maps?q=...842.17740392482357,-8.152856721634187
PONTEVEDRA;42.423639805969;-8.606734570039414;https://www.google.com/maps?q=...842.423639805969,-8.606734570039414
PORQUEIRA;42.039483232911316;-7.853288347821831;https://www.google.com/maps?q=...842.039483232911316,-7.853288347821831
PORTAS;42.573229480846905;-8.668473910722174;https://www.google.com/maps?q=...842.573229480846905,-8.668473910722174
PORTO DO SON;42.68860185044302;-8.985119216045453;https://www.google.com/maps?q=...842.68860185044302,-8.985119216045453
PORTOMARIN;42.80966599159964;-7.689967070148844;https://www.google.com/maps?q=...842.80966599159964,-7.689967070148844
PORTUGAL;41.938285119471836;-7.752600782445992;https://www.google.com/maps?q=...841.938285119471836,-7.752600782445992
PUNXIN;42.380739089252714;-8.002306614916398;https://www.google.com/maps?q=...842.380739089252714,-8.002306614916398
QUINTELA DE LEIRADO;42.12759135307275;-8.08939397378339;https://www.google.com/maps?q=...842.12759135307275,-8.08939397378339
QUIROGA;42.48671391288768;-7.219371587092864;https://www.google.com/maps?q=...842.48671391288768,-7.219371587092864
RABADE;43.131686540308465;-7.617836464955911;https://www.google.com/maps?q=...843.131686540308465,-7.617836464955911
RAIRIZ DE VEIGA;42.10904186499938;-7.85031383811597;https://www.google.com/maps?q=...842.10904186499938,-7.85031383811597
RAMIRAS;42.184928911241116;-8.037773784715466;https://www.google.com/maps?q=...842.184928911241116,-8.037773784715466
REDONDELA;42.2857751595759;-8.620382544632255;https://www.google.com/maps?q=...842.2857751595759,-8.620382544632255
RIANXO;42.69074577456052;-8.773581783559404;https://www.google.com/maps?q=...842.69074577456052,-8.773581783559404
RIBADAVIA;42.29310900904334;-8.14292247385765;https://www.google.com/maps?q=...842.29310900904334,-8.14292247385765
RIBADEO;43.51952832773459;-7.100841635957162;https://www.google.com/maps?q=...843.51952832773459,-7.100841635957162
RIBADUMIA;42.54056720239237;-8.733677773741809;https://www.google.com/maps?q=...842.54056720239237,-8.733677773741809
RIBAS DE SIL;42.44058774141899;-7.320117915862875;https://www.google.com/maps?q=...842.44058774141899,-7.320117915862875
RIBEIRA;42.597056765878015;-8.995986167343249;https://www.google.com/maps?q=...842.597056765878015,-8.995986167343249
RIBEIRA DE PIQUIN;43.183246329119626;-7.1943545807403435;https://www.google.com/maps?q=...843.183246329119626,-7.1943545807403435
RIOS;41.97411564167685;-7.270166670844932;https://www.google.com/maps?q=...841.97411564167685,-7.270166670844932
RIOTORTO;43.31026899864666;-7.265662730894678;https://www.google.com/maps?q=...843.31026899864666,-7.265662730894678
RODEIRO;42.64486737457623;-7.952641911558052;https://www.google.com/maps?q=...842.64486737457623,-7.952641911558052
ROIS;42.806033714883185;-8.721467071101747;https://www.google.com/maps?q=...842.806033714883185,-8.721467071101747
RUBIA;42.462704772045896;-6.949635312930834;https://www.google.com/maps?q=...842.462704772045896,-6.949635312930834
SADA;43.35762333484959;-8.282619219287422;https://www.google.com/maps?q=...843.35762333484959,-8.282619219287422
SALCEDA DE CASELAS;42.10994548045167;-8.575866557439447;https://www.google.com/maps?q=...842.10994548045167,-8.575866557439447
SALVATERRA DE MINO;42.12927686787352;-8.489905220238724;https://www.google.com/maps?q=...842.12927686787352,-8.489905220238724
SAMOS;42.72881963078911;-7.271282800834158;https://www.google.com/maps?q=...842.72881963078911,-7.271282800834158
SAN AMARO;42.383053709246894;-8.06733352289033;https://www.google.com/maps?q=...842.383053709246894,-8.06733352289033
SAN CIBRAO DAS VINAS;42.2837371779665;-7.8569852542859495;https://www.google.com/maps?q=...842.2837371779665,-7.8569852542859495
SAN CRISTOVO DE CEA;42.50660439393493;-7.943144038520559;https://www.google.com/maps?q=...842.50660439393493,-7.943144038520559
SAN SADURNINO;43.51658541967822;-8.050570225855184;https://www.google.com/maps?q=...843.51658541967822,-8.050570225855184
SAN XOAN DE RIO;42.391712909696665;-7.335785669997775;https://www.google.com/maps?q=...842.391712909696665,-7.335785669997775
SANDIAS;42.14668435427938;-7.765910905770024;https://www.google.com/maps?q=...842.14668435427938,-7.765910905770024
SANTA COMBA;43.0647778934907;-8.77534219169473;https://www.google.com/maps?q=...843.0647778934907,-8.77534219169473
SANTIAGO DE COMPOSTELA;42.91054891753242;-8.550132884304656;https://www.google.com/maps?q=...842.91054891753242,-8.550132884304656
